"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";
"2";"100k, 1%";"R-EU_R0805";"R0805";"R8, R9";"RESISTOR, European symbol";"YAGEO (PHYCOMP)";"RC0805FR-07100KL";"9237879";"";"";
"3";"100uF, 25V, 85C";"CAP_POLPTH1";"CPOL-RADIAL-100UF-25V";"C1, C4, C5";"Capacitor Polarized";"MULTICOMP";"MCUMR25V107M8X5";"1870940";"";"";
"6";"10k, 5%";"R-EU_R0805";"R0805";"R1, R2, R3, R4, R6, R7";"RESISTOR, European symbol";"MULTICOMP";"MC01W0805510K";"9333720";"";"";
"1";"1N4148W";"DIODESOD-323F";"SOD-323F";"D11";"Diode";"MULTICOMP";"1N4148WS.";"1466524";"";"";
"1";"1NF, 0805, 16V, X5R";"C-EUC0805";"C0805";"C8";"CAPACITOR, European symbol";"MULTICOMP";"MCSH21B102K160CT";"1856432";"";"";
"1";"1k, 5%";"R-EU_R0805";"R0805";"R5";"RESISTOR, European symbol";"WELWYN";"WCR0805-1K0FI";"1099800";"";"";
"9";"1uF, 0805, 25V, X5R";"C-EUC0805";"C0805";"C2, C3, C6, C7, C9, C10, C11, C12, C13";"CAPACITOR, European symbol";"MULTICOMP";"MC0805X105K250CT";"2320832";"";"";
"2";"22k, 1%";"R-EU_R0805";"R0805";"R10, R11";"RESISTOR, European symbol";"WELWYN";"WCR0805-22KFI";"1099809";"";"";
"1";"24AA02E64";"24AA00OT";"SOT23-5L";"IC1";"Serial EEPROM";"MICROCHIP";"24AA00T-I/OT";"1331264";"89H3038";"";
"1";"ADS1115 MODULE";"MA10-1W";"MA10-1W";"SV1";"PIN HEADER";"";"";"unknown";"unknown";"";
"1";"ARDUINO-PRO-MINI-3.3V#APC";"ARDUINO-PRO-MINI-3.3V#APC";"ARDUINO-PRO-MINI#APC";"M1";"Arduino Pro Mini (and compatible devices) with angle programming connector";"";"";"unknown";"";"";
"1";"BU-SMA-G";"BU-SMA-G";"BU-SMA-G";"X1";"FEMALE SMA CONNECTOR";"AMP - TE CONNECTIVITY";"5-1814400-1";"1248989";"unknown";"";
"1";"DC-DC-STEP-DOWN-MP1584";"DC-DC-STEP-DOWN-MP1584";"DC-DC-STEP-DOWN-MP1584";"U1";"DC/DC Step-Down Regulator based on MP1584 chip";"";"";"unknown";"";"";
"1";"HM-10 MODULE";"CON_HEADER_1X06-SMD-RIGHT-ANGLED";"M1X6_MALE_RIGHT_ANGLED_SMD";"J1";"";"";"";"unknown";"";"";
"1";"LM1117";"V_REG_LM1117SOT223";"SOT223";"IC3";"Voltage Regulator LM1117";"STMICROELECTRONICS";"LD1117S33TR";"1202826";"";"VREG-08170";
"8";"MBR0520LT";"MBR0520LT";"SOD123";"D2, D3, D4, D5, D6, D7, D8, D10";"SCHOTTKY BARRIER RECTIFIER";"DIODES INC.";"B0520LW-7-F";"1773476";"";"";
"1";"MBRA340T3";"MBRA340T3";"SMA";"D1";"Surface Mount Schottky Power Rectifier";"ON SEMICONDUCTOR";"MBRA340T3G";"1431078";"";"";
"4";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"H2, H3, H4, H5";"MOUNTING HOLE with drill center marker";"";"";"unknown";"";"";
"1";"MSS7341";"MSS7341";"MSS7341";"L1";"Shielded Power Inductors";"COILCRAFT";"MSS7341-683MLD";"2288678";"";"";
"1";"Multicomp MC36219";"PTCFUSE-1812";"1812";"F1";"PTC fuses, resettable thermistors";"MULTICOMP";"MC36219.";"2366776";"";"";
"1";"NEG";"3,81/1,4";"3,81/1,4";"PAD2";"THROUGH-HOLE PAD";"";"";"unknown";"";"";
"1";"OLED MODULE";"PINHD-1X4";"1X04";"JP2";"PIN HEADER";"";"";"unknown";"";"";
"1";"POS";"3,81/1,4";"3,81/1,4";"PAD1";"THROUGH-HOLE PAD";"";"";"unknown";"";"";
"1";"RFM69HCW";"RFM69HCW";"RFM69HCW-XXXS2";"U3";"";"";"";"unknown";"";"";
"1";"SHT31 MODULE";"PINHD-1X4";"1X04";"JP1";"PIN HEADER";"";"";"unknown";"";"";
"8";"TP_1MM_TH"";"TP_1MM_TH"";"TP_1MM_TH";"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8";"Bare copper test points for troubleshooting or ICT";"";"";"unknown";"";"";
"1";"W25Q80DVSNIG";"SPI_FLASH-X25XXSMD";"SO08";"U4";"8pin SPI Flash series x25xx. Works with devices like W25X32 and BR25L32";"";"";"unknown";"";"";
"1";"WS2812B";"WS2812B";"WS2812B";"D9";"WS2812B - Intelligent control LED integrated light source";"";"";"unknown";"";"";
